Metodo,Zona,Sitio,Transecto,Buzo,Replica,Tiempo Campo (min),Tiempo Laboratorio (min),Tiempo Total (min),Día,Coral,Esponja,Alga,Sustrato,arco %C,arco% S,arco% A,arco % SI,,Notas de los datos
Cuadrante,Planicie,2,Planicie_2,B,2,10,5,15,9,43.3,0,56.4,0.3,0.718,0,0.85,0.055,,
Cuadrante,Planicie,3,Planicie_3,A,1,24,15,39,6,78.4,0.01,21.59,0,1.087,0.01,0.483,0,,
Cuadrante,Planicie,3,Planicie_3,A,2,38,8,46,5,84.35,0.02,15.63,0,1.164,0.014,0.406,0,,
Cuadrante,Planicie,3,Planicie_3,C,1,23,9,32,6,77.3,0,12.98,9.72,1.074,0,0.369,0.317,,
Cuadrante,Planicie,3,Planicie_3,C,2,15,11,26,9,82.1,0,0,17.9,1.134,0,0,0.437,,
Cuadrante,Planicie,3,Planicie_3,B,1,13,9,22,9,79.9,0,20.1,0,1.106,0,0.465,0,,
Cuadrante,Planicie,3,Planicie_3,B,2,11,7,18,9,82,0,17.9,0.1,1.133,0,0.437,0.032,,
Cuadrante,Talud,1,Talud_1,A,1,25,15,40,6,74.58,0,18.17,7.25,1.042,0,0.44,0.273,,
Cuadrante,Talud,1,Talud_1,A,2,25,10,35,6,70.68,0,21.32,8,0.999,0,0.48,0.287,,
Cuadrante,Talud,1,Talud_1,C,1,38,15,53,5,78.475,0,0.025,21.5,1.088,0,0.016,0.482,,
Cuadrante,Talud,1,Talud_1,C,2,26,19,45,10,77.7,0,0,22.3,1.079,0,0,0.492,,
Cuadrante,Talud,1,Talud_1,B,1,11,11,22,10,78.6,0,0.7,20.7,1.09,0,0.084,0.472,,
Cuadrante,Talud,1,Talud_1,B,2,14,9,23,10,77.6,0,18.5,3.9,1.078,0,0.445,0.199,,
Cuadrante,Talud,2,Talud_2,A,1,20,9,29,5,88.54,0,11.46,0,1.225,0,0.345,0,,
Cuadrante,Talud,2,Talud_2,A,2,27,8,35,6,88.73,0,11.27,0,1.228,0,0.342,0,,
Cuadrante,Talud,2,Talud_2,C,1,15,7,22,5,85.5,0,0,14.5,1.18,0,0,0.391,,
Cuadrante,Talud,2,Talud_2,C,2,15,10,25,10,78,0,0,22,1.083,0,0,0.488,,
Cuadrante,Talud,2,Talud_2,B,1,10,4,14,10,86,0,12.3,1.7,1.187,0,0.358,0.131,,
Cuadrante,Talud,2,Talud_2,B,2,10,5,15,10,87.6,0,11.4,1,1.211,0,0.344,0.1,,
Cuadrante,Talud,3,Talud_3,A,1,22,9,31,5,93.435,0,6.565,0,1.312,0,0.259,0,,
Cuadrante,Talud,3,Talud_3,A,2,26,5,31,6,98.22,0,1.78,0,1.437,0,0.134,0,,
Cuadrante,Talud,3,Talud_3,C,1,11,5,16,5,97.7,0,0,2.3,1.419,0,0,0.152,,
Cuadrante,Talud,3,Talud_3,C,2,11,9,20,10,95.9,0,1.7,2.4,1.367,0,0.131,0.156,,
Cuadrante,Talud,3,Talud_3,B,1,9,4,13,10,99.05,0,0.5,0.45,1.473,0,0.071,0.067,,
Cuadrante,Talud,3,Talud_3,B,2,7,3,10,10,99.4,0,0.2,0.4,1.493,0,0.045,0.063,,
Cadena,Planicie,1,Planicie_1,A,1,31,14,45,4,14.096,0,85.904,0,0.385,0,1.186,0,,
Cadena,Planicie,1,Planicie_1,A,2,21,21,42,5,11.31,0,88.69,0,0.343,0,1.228,0,,
Cadena,Planicie,1,Planicie_1,C,1,20,10,30,4,18.768,0,14.123,67.109,0.448,0,0.385,0.96,,
Cadena,Planicie,1,Planicie_1,C,2,17,13,30,9,18.627,0,15.931,65.441,0.446,0,0.411,0.942,,
Cadena,Planicie,1,Planicie_1,B,1,11,7,18,9,18.073,0,81.857,0.07,0.439,0,1.131,0.027,,
Cadena,Planicie,1,Planicie_1,B,2,16,9,25,9,17.431,0,82.569,0,0.431,0,1.14,0,,
Cadena,Planicie,2,Planicie_2,A,1,22,8,30,4,60.175,0,39.825,0,0.888,0,0.683,0,,
Cadena,Planicie,2,Planicie_2,A,2,17,7,24,5,55.304,0,44.696,0,0.839,0,0.732,0,,
Cadena,Planicie,2,Planicie_2,C,1,20,5,25,4,56.688,0,0,43.313,0.852,0,0,0.718,,
Cadena,Planicie,2,Planicie_2,C,2,14,9,23,9,56.658,0,0,43.342,0.852,0,0,0.719,,
Cadena,Planicie,2,Planicie_2,B,1,11,5,16,9,66.77,0,27.033,6.197,0.956,0,0.547,0.252,,
Cadena,Planicie,2,Planicie_2,B,2,11,4,15,9,59.149,0,38.488,2.363,0.877,0,0.669,0.154,,
Cadena,Planicie,3,Planicie_3,A,1,12,6,18,5,90.651,0,9.349,0,1.26,0,0.311,0,,
Cadena,Planicie,3,Planicie_3,A,2,19,7,26,4,86.731,0,13.269,0,1.198,0,0.373,0,,
Cadena,Planicie,3,Planicie_3,C,1,14,3,17,4,76.208,0,0,23.792,1.061,0,0,0.51,,
Cadena,Planicie,3,Planicie_3,C,2,11,4,15,9,88.364,0,0,11.636,1.223,0,0,0.348,,
Cadena,Planicie,3,Planicie_3,B,1,13,3,16,9,89.416,0,9.675,0.909,1.239,0,0.316,0.095,,
Cadena,Planicie,3,Planicie_3,B,2,9,2,11,9,88.736,0,11.264,0,1.229,0,0.342,0,,
Cadena,Talud,1,Talud_1,A,1,31,14,45,4,74.645,0,19.803,5.552,1.043,0,0.461,0.238,,
Cadena,Talud,1,Talud_1,A,2,18,19,37,5,72.612,0,19.506,7.882,1.02,0,0.457,0.285,,
Cadena,Talud,1,Talud_1,C,1,20,6,26,4,74.855,0,2.312,22.832,1.046,0,0.153,0.498,,
Cadena,Talud,1,Talud_1,C,2,22,10,32,8,84.036,0,0,15.964,1.16,0,0,0.411,,
Cadena,Talud,1,Talud_1,B,1,13,6,19,8,88.309,0,5.462,6.229,1.222,0,0.236,0.252,,
Cadena,Talud,1,Talud_1,B,2,12,9,21,8,70.099,0,11.222,18.679,0.992,0,0.342,0.447,,
Cadena,Talud,2,Talud_2,A,1,13,10,23,5,84.371,0,15.629,0,1.164,0,0.406,0,,
Cadena,Talud,2,Talud_2,A,2,23,4,27,4,84.343,0,15.657,0,1.164,0,0.407,0,,
Cadena,Talud,2,Talud_2,C,1,16,3,19,4,75.723,0,0.867,23.41,1.056,0,0.093,0.505,,
Cadena,Talud,2,Talud_2,C,2,14,5,19,8,84.639,0,0,15.361,1.168,0,0,0.403,,
Cadena,Talud,2,Talud_2,B,1,12,3,15,8,85.981,0,9.346,4.673,1.187,0,0.311,0.218,,
Cadena,Talud,2,Talud_2,B,2,12,3,15,8,88.103,0,10.611,1.286,1.219,0,0.332,0.114,,
Cadena,Talud,3,Talud_3,A,1,26,11,37,4,94.438,0,5.562,0,1.333,0,0.238,0,,
Cadena,Talud,3,Talud_3,A,2,20,6,26,4,94.033,0,5.967,0,1.324,0,0.247,0,,
Cadena,Talud,3,Talud_3,C,1,21,10,31,5,97.32,0,0,2.68,1.406,0,0,0.164,,
Cadena,Talud,3,Talud_3,C,2,11,4,15,8,97.345,0,0,2.655,1.407,0,0,0.164,,
Cadena,Talud,3,Talud_3,B,1,11,7,18,8,100,0,0,0,1.571,0,0,0,,
Cadena,Talud,3,Talud_3,B,2,15,7,22,8,99.128,0,0,0.872,1.477,0,0,0.094,,
